stage,match_no,group,home_team,away_team,p_pairing,p_home,p_draw,p_away,ci_home_lo,ci_home_hi,ci_draw_lo,ci_draw_hi,ci_away_lo,ci_away_hi,cal_home,cal_draw,cal_away
QF,98.0,,Spain,Belgium,0.1971,0.4401,0.2833,0.2766,0.1711,0.7667,0.1358,0.3903,0.0768,0.5854,0.6046,0.2231,0.1723
QF,98.0,,Spain,Algeria,0.1619,0.4295,0.3184,0.2522,0.1833,0.7312,0.1685,0.4321,0.0732,0.517,0.6295,0.2442,0.1263
QF,98.0,,Portugal,Belgium,0.1011,0.3669,0.3003,0.3329,0.1349,0.6781,0.166,0.3968,0.1103,0.6298,0.4764,0.2626,0.261
QF,99.0,,Brazil,England,0.1872,0.2947,0.3182,0.3871,0.0842,0.6401,0.1757,0.4208,0.1269,0.6864,0.3189,0.299,0.3821
QF,99.0,,Norway,England,0.1561,0.2751,0.3542,0.3707,0.0811,0.5975,0.1996,0.4613,0.1283,0.6661,0.267,0.3121,0.4209
QF,99.0,,Japan,England,0.1262,0.3007,0.4396,0.2597,0.1032,0.6042,0.263,0.576,0.089,0.5507,0.256,0.3007,0.4433
QF,100.0,,Argentina,Switzerland,0.3992,0.5406,0.3206,0.1387,0.2472,0.7922,0.1598,0.4545,0.027,0.4134,0.5834,0.2379,0.1788
QF,100.0,,Argentina,Colombia,0.3432,0.5511,0.3149,0.134,0.2727,0.7964,0.1574,0.4504,0.029,0.4092,0.5597,0.2508,0.1895
QF,100.0,,Argentina,Sweden,0.0587,0.7843,0.1678,0.0479,0.477,0.9458,0.0443,0.3224,0.005,0.2277,0.7604,0.1631,0.0765
SF,101.0,,Germany,Spain,0.118,0.3071,0.2753,0.4176,0.0921,0.6116,0.1494,0.3668,0.1569,0.7296,0.2009,0.2155,0.5836
SF,101.0,,France,Spain,0.113,0.2819,0.2855,0.4326,0.0871,0.5791,0.1611,0.3864,0.1808,0.7262,0.2814,0.2563,0.4624
