stage,group,home_team,away_team,p_home,p_draw,p_away,rank,score,prob
group,I,France,Iraq,0.7056,0.2153,0.0791,3,3-0,0.1045
group,I,France,Iraq,0.7056,0.2153,0.0791,4,0-0,0.0978
group,I,France,Iraq,0.7056,0.2153,0.0791,5,1-1,0.0946
group,I,Senegal,Norway,0.2344,0.2927,0.4729,1,1-1,0.14
group,I,Senegal,Norway,0.2344,0.2927,0.4729,2,0-1,0.1009
group,I,Senegal,Norway,0.2344,0.2927,0.4729,3,0-0,0.0959
group,I,Senegal,Norway,0.2344,0.2927,0.4729,4,1-2,0.0933
group,I,Senegal,Norway,0.2344,0.2927,0.4729,5,0-2,0.0913
group,I,Senegal,Iraq,0.5792,0.2918,0.129,1,1-0,0.1814
group,I,Senegal,Iraq,0.5792,0.2918,0.129,2,0-0,0.1463
group,I,Senegal,Iraq,0.5792,0.2918,0.129,3,2-0,0.1413
group,I,Senegal,Iraq,0.5792,0.2918,0.129,4,1-1,0.1213
group,I,Senegal,Iraq,0.5792,0.2918,0.129,5,2-1,0.0789
group,I,Norway,Iraq,0.7007,0.2216,0.0777,1,1-0,0.1712
group,I,Norway,Iraq,0.7007,0.2216,0.0777,2,2-0,0.1673
group,I,Norway,Iraq,0.7007,0.2216,0.0777,3,0-0,0.106
group,I,Norway,Iraq,0.7007,0.2216,0.0777,4,3-0,0.1036
group,I,Norway,Iraq,0.7007,0.2216,0.0777,5,1-1,0.0947
group,J,Argentina,Austria,0.5059,0.3706,0.1235,1,0-0,0.247
group,J,Argentina,Austria,0.5059,0.3706,0.1235,2,1-0,0.232
group,J,Argentina,Austria,0.5059,0.3706,0.1235,3,2-0,0.1307
group,J,Argentina,Austria,0.5059,0.3706,0.1235,4,1-1,0.1127
group,J,Argentina,Austria,0.5059,0.3706,0.1235,5,0-1,0.0782
group,J,Argentina,Algeria,0.4914,0.3713,0.1373,1,0-0,0.2371
group,J,Argentina,Algeria,0.4914,0.3713,0.1373,2,1-0,0.2188
group,J,Argentina,Algeria,0.4914,0.3713,0.1373,3,2-0,0.1251
group,J,Argentina,Algeria,0.4914,0.3713,0.1373,4,1-1,0.121
group,J,Argentina,Algeria,0.4914,0.3713,0.1373,5,0-1,0.0823
group,J,Argentina,Jordan,0.8527,0.1223,0.025,1,2-0,0.1776
group,J,Argentina,Jordan,0.8527,0.1223,0.025,2,3-0,0.1551
group,J,Argentina,Jordan,0.8527,0.1223,0.025,3,1-0,0.1292
group,J,Argentina,Jordan,0.8527,0.1223,0.025,4,4-0,0.1016
group,J,Argentina,Jordan,0.8527,0.1223,0.025,5,2-1,0.0607
group,J,Austria,Algeria,0.2834,0.3818,0.3347,1,0-0,0.2036
group,J,Austria,Algeria,0.2834,0.3818,0.3347,2,1-1,0.1525
group,J,Austria,Algeria,0.2834,0.3818,0.3347,3,0-1,0.1428
group,J,Austria,Algeria,0.2834,0.3818,0.3347,4,1-0,0.126
group,J,Austria,Algeria,0.2834,0.3818,0.3347,5,0-2,0.0733
group,J,Austria,Jordan,0.6641,0.2309,0.105,1,2-0,0.1363
group,J,Austria,Jordan,0.6641,0.2309,0.105,2,1-0,0.123
group,J,Austria,Jordan,0.6641,0.2309,0.105,3,1-1,0.1092
group,J,Austria,Jordan,0.6641,0.2309,0.105,4,2-1,0.0935
group,J,Austria,Jordan,0.6641,0.2309,0.105,5,3-0,0.0899
group,J,Algeria,Jordan,0.71,0.2013,0.0887,1,2-0,0.1345
group,J,Algeria,Jordan,0.71,0.2013,0.0887,2,1-0,0.1091
group,J,Algeria,Jordan,0.71,0.2013,0.0887,3,3-0,0.0992
group,J,Algeria,Jordan,0.71,0.2013,0.0887,4,1-1,0.0961
group,J,Algeria,Jordan,0.71,0.2013,0.0887,5,2-1,0.0926
group,K,Portugal,Colombia,0.3947,0.2975,0.3078,1,1-1,0.1422
group,K,Portugal,Colombia,0.3947,0.2975,0.3078,2,2-1,0.088
group,K,Portugal,Colombia,0.3947,0.2975,0.3078,3,0-0,0.0877
group,K,Portugal,Colombia,0.3947,0.2975,0.3078,4,1-0,0.0772
group,K,Portugal,Colombia,0.3947,0.2975,0.3078,5,1-2,0.0765
group,K,Portugal,Uzbekistan,0.6437,0.2513,0.105,1,1-0,0.1649
group,K,Portugal,Uzbekistan,0.6437,0.2513,0.105,2,2-0,0.1511
group,K,Portugal,Uzbekistan,0.6437,0.2513,0.105,3,0-0,0.1146
group,K,Portugal,Uzbekistan,0.6437,0.2513,0.105,4,1-1,0.1104
group,K,Portugal,Uzbekistan,0.6437,0.2513,0.105,5,3-0,0.0863
group,K,Portugal,DR Congo,0.4979,0.3455,0.1566,1,1-0,0.2027
group,K,Portugal,DR Congo,0.4979,0.3455,0.1566,2,0-0,0.2013
group,K,Portugal,DR Congo,0.4979,0.3455,0.1566,3,1-1,0.1261
group,K,Portugal,DR Congo,0.4979,0.3455,0.1566,4,2-0,0.1233
group,K,Portugal,DR Congo,0.4979,0.3455,0.1566,5,0-1,0.0861
group,K,Colombia,Uzbekistan,0.6247,0.2519,0.1234,1,1-0,0.1458
group,K,Colombia,Uzbekistan,0.6247,0.2519,0.1234,2,2-0,0.1379
group,K,Colombia,Uzbekistan,0.6247,0.2519,0.1234,3,1-1,0.1157
group,K,Colombia,Uzbekistan,0.6247,0.2519,0.1234,4,0-0,0.1024
group,K,Colombia,Uzbekistan,0.6247,0.2519,0.1234,5,2-1,0.0906
group,K,Colombia,DR Congo,0.4788,0.3398,0.1815,1,1-0,0.1826
group,K,Colombia,DR Congo,0.4788,0.3398,0.1815,2,0-0,0.1817
group,K,Colombia,DR Congo,0.4788,0.3398,0.1815,3,1-1,0.1345
group,K,Colombia,DR Congo,0.4788,0.3398,0.1815,4,2-0,0.1144
group,K,Colombia,DR Congo,0.4788,0.3398,0.1815,5,0-1,0.09
group,K,Uzbekistan,DR Congo,0.2139,0.4407,0.3454,1,0-0,0.3032
group,K,Uzbekistan,DR Congo,0.2139,0.4407,0.3454,2,0-1,0.1914
group,K,Uzbekistan,DR Congo,0.2139,0.4407,0.3454,3,1-0,0.1312
group,K,Uzbekistan,DR Congo,0.2139,0.4407,0.3454,4,1-1,0.1266
group,K,Uzbekistan,DR Congo,0.2139,0.4407,0.3454,5,0-2,0.0765
group,L,England,Croatia,0.4931,0.331,0.1759,1,1-0,0.1599
group,L,England,Croatia,0.4931,0.331,0.1759,2,0-0,0.1592
group,L,England,Croatia,0.4931,0.331,0.1759,3,1-1,0.1423
group,L,England,Croatia,0.4931,0.331,0.1759,4,2-0,0.1163
group,L,England,Croatia,0.4931,0.331,0.1759,5,2-1,0.079
group,L,England,Panama,0.787,0.1667,0.0463,1,2-0,0.1721
group,L,England,Panama,0.787,0.1667,0.0463,2,1-0,0.1417
group,L,England,Panama,0.787,0.1667,0.0463,3,3-0,0.1312
group,L,England,Panama,0.787,0.1667,0.0463,4,4-0,0.075
group,L,England,Panama,0.787,0.1667,0.0463,5,2-1,0.0747
group,L,England,Ghana,0.7152,0.2222,0.0627,1,1-0,0.1875
group,L,England,Ghana,0.7152,0.2222,0.0627,2,2-0,0.1805
group,L,England,Ghana,0.7152,0.2222,0.0627,3,0-0,0.1182
group,L,England,Ghana,0.7152,0.2222,0.0627,4,3-0,0.11
